Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2016","2016","millions","9299.09","X","Ciffre de sources internationales","Consolidated General Government Expenditure"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2017","2017","millions","9095.51","X","Ciffre de sources internationales","Consolidated General Government Expenditure"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2016","2016","millions","311.85","X","Ciffre de sources internationales","Consolidated General Government Expenditure"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2017","2017","millions","288.42","X","Ciffre de sources internationales","Consolidated General Government Expenditure"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23144","Protection de lénvironnement (Administrations Publiques)","2016","2016","millions","25.09","X","Ciffre de sources internationales","Consolidated General Government Expenditure"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23144","Protection de lénvironnement (Administrations Publiques)","2017","2017","millions","34.96","X","Ciffre de sources internationales","Consolidated General Government Expenditure"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23160","Dépenses (Administration Centrale)","2016","2016","millions","9221.52","X","Ciffre de sources internationales","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23160","Dépenses (Administration Centrale)","2017","2017","millions","9026.27","X","Ciffre de sources internationales","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23160","Dépenses (Administration Centrale)","2018","2018","millions","1669.53","A","Chiffre officiel","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23160","Dépenses (Administration Centrale)","2019","2019","millions","1792.27","A","Chiffre officiel","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23160","Dépenses (Administration Centrale)","2020","2020","millions","2091.28","A","Chiffre officiel","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23161","Agriculture, sylviculture, pêche (Administration Centrale)","2016","2016","millions","311.85","X","Ciffre de sources internationales","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23161","Agriculture, sylviculture, pêche (Administration Centrale)","2017","2017","millions","288.42","X","Ciffre de sources internationales","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23161","Agriculture, sylviculture, pêche (Administration Centrale)","2018","2018","millions","232.08","A","Chiffre officiel","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23161","Agriculture, sylviculture, pêche (Administration Centrale)","2019","2019","millions","162.05","A","Chiffre officiel","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23161","Agriculture, sylviculture, pêche (Administration Centrale)","2020","2020","millions","210.16","A","Chiffre officiel","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23174","Protection de lénvironnement (Administration Centrale)","2016","2016","millions","3.69","X","Ciffre de sources internationales","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","004","Afghanistan","6110","Valeur US $","23174","Protection de lénvironnement (Administration Centrale)","2017","2017","millions","24.13","X","Ciffre de sources internationales","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2016","2016","millions","102874.44","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2017","2017","millions","118821.28","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2018","2018","millions","129162.64","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2019","2019","millions","124212.28","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23130","Dépenses (Administrations Publiques)","2020","2020","millions","119841.81","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2016","2016","millions","1379.64","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2017","2017","millions","1608.7","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2018","2018","millions","1576.33","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2019","2019","millions","1541.55","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23131","Agriculture, sylviculture, pêche (Administrations Publiques)","2020","2020","millions","1523.23","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23132","Agriculture, sylviculture, pêche, Courantes (Administrations Publiques)","2016","2016","millions","1011.52","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23132","Agriculture, sylviculture, pêche, Courantes (Administrations Publiques)","2017","2017","millions","1166.29","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23132","Agriculture, sylviculture, pêche, Courantes (Administrations Publiques)","2018","2018","millions","1219.25","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23132","Agriculture, sylviculture, pêche, Courantes (Administrations Publiques)","2019","2019","millions","1184.42","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23132","Agriculture, sylviculture, pêche, Courantes (Administrations Publiques)","2020","2020","millions","1182.93","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23133","Agriculture, sylviculture, pêche, Capital (Administrations Publiques)","2016","2016","millions","368.13","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23133","Agriculture, sylviculture, pêche, Capital (Administrations Publiques)","2017","2017","millions","442.41","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23133","Agriculture, sylviculture, pêche, Capital (Administrations Publiques)","2018","2018","millions","357.08","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23133","Agriculture, sylviculture, pêche, Capital (Administrations Publiques)","2019","2019","millions","357.13","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23133","Agriculture, sylviculture, pêche, Capital (Administrations Publiques)","2020","2020","millions","340.3","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23134","Agriculture (Administrations Publiques)","2016","2016","millions","1259.79","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23134","Agriculture (Administrations Publiques)","2017","2017","millions","1461.25","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23134","Agriculture (Administrations Publiques)","2018","2018","millions","1441.97","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23134","Agriculture (Administrations Publiques)","2019","2019","millions","1420.57","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23134","Agriculture (Administrations Publiques)","2020","2020","millions","1286.28","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23135","Agriculture, Courantes (Administrations Publiques)","2016","2016","millions","895.74","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23135","Agriculture, Courantes (Administrations Publiques)","2017","2017","millions","1023.19","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23135","Agriculture, Courantes (Administrations Publiques)","2018","2018","millions","1089.65","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23135","Agriculture, Courantes (Administrations Publiques)","2019","2019","millions","1067.59","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23135","Agriculture, Courantes (Administrations Publiques)","2020","2020","millions","1128.37","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23136","Agriculture, Capital (Administrations Publiques)","2016","2016","millions","364.05","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23136","Agriculture, Capital (Administrations Publiques)","2017","2017","millions","438.06","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23136","Agriculture, Capital (Administrations Publiques)","2018","2018","millions","352.32","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23136","Agriculture, Capital (Administrations Publiques)","2019","2019","millions","352.98","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23136","Agriculture, Capital (Administrations Publiques)","2020","2020","millions","216.96","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23137","Sylviculture (Administrations Publiques)","2016","2016","millions","68.05","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23137","Sylviculture (Administrations Publiques)","2017","2017","millions","89.17","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23137","Sylviculture (Administrations Publiques)","2018","2018","millions","75.45","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23137","Sylviculture (Administrations Publiques)","2019","2019","millions","71.22","A","Chiffre officiel","Consolidated General Government Expenditure"
"IG","Dépenses publiques","710","Afrique du Sud","6110","Valeur US $","23137","Sylviculture (Administrations Publiques)","2020","2020","millions","65.37","A","Chiffre officiel","Consolidated General Government Expenditure"
