Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2016","2016","US$","509.271172","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","520.616409","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2018","2018","US$","495.504343","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","496.940553","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2020","2020","US$","508.453722","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2016","2016","US$","5272.254217","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","6121.876572","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2018","2018","US$","6369.231608","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","6001.389576","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2020","2020","US$","5094.384038","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2016","2016","US$","4109.340457","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","4514.204908","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2018","2018","US$","5257.650696","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","5345.602513","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2020","2020","US$","5180.914198","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","012","Algérie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2016","2016","US$","3946.45421","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","012","Algérie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","4109.696001","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","012","Algérie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2018","2018","US$","4153.961485","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","012","Algérie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","3975.519002","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","012","Algérie","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2020","2020","US$","3367.963003","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","276","Allemagne","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2016","2016","US$","42186.872393","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","276","Allemagne","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","44651.829102","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","276","Allemagne","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2018","2018","US$","47847.426197","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","276","Allemagne","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","46557.284069","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","276","Allemagne","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2020","2020","US$","45908.724713","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","020","Andorre","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2016","2016","US$","37448.36389","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","020","Andorre","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2017","2017","US$","38962.613799","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","020","Andorre","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2018","2018","US$","41794.398572","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","020","Andorre","6119","Valeur US $ par habitant","22008","Produit Intérieur Brut","2019","2019","US$","40900.53859","X","Ciffre de sources internationales",""
