Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","710","Afrique du Sud","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2016","2016","7021","Valeur annuel","USD","1505.6","A","Chiffre officiel"
"PP","Prix à la Production","710","Afrique du Sud","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2015.1","A","Chiffre officiel"
"PP","Prix à la Production","710","Afrique du Sud","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","7021","Valeur annuel","USD","2082.8","A","Chiffre officiel"
"PP","Prix à la Production","710","Afrique du Sud","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","7021","Valeur annuel","USD","1921.2","A","Chiffre officiel"
"PP","Prix à la Production","710","Afrique du Sud","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","USD","1713.1","A","Chiffre officiel"
"PP","Prix à la Production","012","Algérie","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2016","2016","7021","Valeur annuel","USD","2339.1","A","Chiffre officiel"
"PP","Prix à la Production","012","Algérie","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2180.7","A","Chiffre officiel"
"PP","Prix à la Production","012","Algérie","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","7021","Valeur annuel","USD","2453","A","Chiffre officiel"
"PP","Prix à la Production","012","Algérie","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","7021","Valeur annuel","USD","2102.1","A","Chiffre officiel"
"PP","Prix à la Production","012","Algérie","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","USD","1881.5","A","Chiffre officiel"
"PP","Prix à la Production","276","Allemagne","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2016","2016","7021","Valeur annuel","USD","1448","A","Chiffre officiel"
"PP","Prix à la Production","276","Allemagne","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1459.6","A","Chiffre officiel"
"PP","Prix à la Production","276","Allemagne","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","7021","Valeur annuel","USD","1378.9","A","Chiffre officiel"
