Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"EK","Tendances dans l’élevage","004","Afghanistan","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2016","2016","UGB/ha","0","E","Valeur estimée"
"EK","Tendances dans l’élevage","004","Afghanistan","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0","E","Valeur estimée"
"EK","Tendances dans l’élevage","004","Afghanistan","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2018","2018","UGB/ha","0","E","Valeur estimée"
"EK","Tendances dans l’élevage","004","Afghanistan","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2019","2019","UGB/ha","0","E","Valeur estimée"
"EK","Tendances dans l’élevage","004","Afghanistan","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2020","2020","UGB/ha","0","E","Valeur estimée"
"EK","Tendances dans l’élevage","004","Afghanistan","7211","Part du total des animaux","02151","Poulets","2016","2016","% du total des UGB","1.75","E","Valeur estimée"
"EK","Tendances dans l’élevage","004","Afghanistan","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","2.04","E","Valeur estimée"
"EK","Tendances dans l’élevage","004","Afghanistan","7211","Part du total des animaux","02151","Poulets","2018","2018","% du total des UGB","2.12","E","Valeur estimée"
"EK","Tendances dans l’élevage","004","Afghanistan","7211","Part du total des animaux","02151","Poulets","2019","2019","% du total des UGB","2.1","E","Valeur estimée"
"EK","Tendances dans l’élevage","004","Afghanistan","7211","Part du total des animaux","02151","Poulets","2020","2020","% du total des UGB","2.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","710","Afrique du Sud","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2016","2016","UGB/ha","0.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","710","Afrique du Sud","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","710","Afrique du Sud","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2018","2018","UGB/ha","0.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","710","Afrique du Sud","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2019","2019","UGB/ha","0.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","710","Afrique du Sud","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2020","2020","UGB/ha","0.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","710","Afrique du Sud","7211","Part du total des animaux","02151","Poulets","2016","2016","% du total des UGB","11.3","E","Valeur estimée"
"EK","Tendances dans l’élevage","710","Afrique du Sud","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","12.53","E","Valeur estimée"
"EK","Tendances dans l’élevage","710","Afrique du Sud","7211","Part du total des animaux","02151","Poulets","2018","2018","% du total des UGB","12.5","E","Valeur estimée"
"EK","Tendances dans l’élevage","710","Afrique du Sud","7211","Part du total des animaux","02151","Poulets","2019","2019","% du total des UGB","12.78","E","Valeur estimée"
"EK","Tendances dans l’élevage","710","Afrique du Sud","7211","Part du total des animaux","02151","Poulets","2020","2020","% du total des UGB","13.12","E","Valeur estimée"
"EK","Tendances dans l’élevage","008","Albanie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2016","2016","UGB/ha","0.06","E","Valeur estimée"
"EK","Tendances dans l’élevage","008","Albanie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.07","E","Valeur estimée"
"EK","Tendances dans l’élevage","008","Albanie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2018","2018","UGB/ha","0.06","E","Valeur estimée"
"EK","Tendances dans l’élevage","008","Albanie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2019","2019","UGB/ha","0.06","E","Valeur estimée"
"EK","Tendances dans l’élevage","008","Albanie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2020","2020","UGB/ha","0.06","E","Valeur estimée"
"EK","Tendances dans l’élevage","008","Albanie","7211","Part du total des animaux","02151","Poulets","2016","2016","% du total des UGB","10.04","E","Valeur estimée"
"EK","Tendances dans l’élevage","008","Albanie","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","10.54","E","Valeur estimée"
"EK","Tendances dans l’élevage","008","Albanie","7211","Part du total des animaux","02151","Poulets","2018","2018","% du total des UGB","10.02","E","Valeur estimée"
"EK","Tendances dans l’élevage","008","Albanie","7211","Part du total des animaux","02151","Poulets","2019","2019","% du total des UGB","10.48","E","Valeur estimée"
"EK","Tendances dans l’élevage","008","Albanie","7211","Part du total des animaux","02151","Poulets","2020","2020","% du total des UGB","10.69","E","Valeur estimée"
"EK","Tendances dans l’élevage","012","Algérie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2016","2016","UGB/ha","0.03","E","Valeur estimée"
"EK","Tendances dans l’élevage","012","Algérie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.03","E","Valeur estimée"
"EK","Tendances dans l’élevage","012","Algérie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2018","2018","UGB/ha","0.03","E","Valeur estimée"
"EK","Tendances dans l’élevage","012","Algérie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2019","2019","UGB/ha","0.03","E","Valeur estimée"
"EK","Tendances dans l’élevage","012","Algérie","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2020","2020","UGB/ha","0.03","E","Valeur estimée"
"EK","Tendances dans l’élevage","012","Algérie","7211","Part du total des animaux","02151","Poulets","2016","2016","% du total des UGB","20.74","E","Valeur estimée"
"EK","Tendances dans l’élevage","012","Algérie","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","21.35","E","Valeur estimée"
"EK","Tendances dans l’élevage","012","Algérie","7211","Part du total des animaux","02151","Poulets","2018","2018","% du total des UGB","21.25","E","Valeur estimée"
"EK","Tendances dans l’élevage","012","Algérie","7211","Part du total des animaux","02151","Poulets","2019","2019","% du total des UGB","21.2","E","Valeur estimée"
"EK","Tendances dans l’élevage","012","Algérie","7211","Part du total des animaux","02151","Poulets","2020","2020","% du total des UGB","20.89","E","Valeur estimée"
"EK","Tendances dans l’élevage","276","Allemagne","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2016","2016","UGB/ha","0.1","E","Valeur estimée"
"EK","Tendances dans l’élevage","276","Allemagne","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.1","E","Valeur estimée"
"EK","Tendances dans l’élevage","276","Allemagne","7211","Part du total des animaux","02151","Poulets","2016","2016","% du total des UGB","7.89","E","Valeur estimée"
"EK","Tendances dans l’élevage","276","Allemagne","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","7.99","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2016","2016","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2018","2018","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2019","2019","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2020","2020","UGB/ha","0.01","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7211","Part du total des animaux","02151","Poulets","2016","2016","% du total des UGB","8.89","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7211","Part du total des animaux","02151","Poulets","2017","2017","% du total des UGB","8.96","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7211","Part du total des animaux","02151","Poulets","2018","2018","% du total des UGB","9.06","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7211","Part du total des animaux","02151","Poulets","2019","2019","% du total des UGB","10.39","E","Valeur estimée"
"EK","Tendances dans l’élevage","024","Angola","7211","Part du total des animaux","02151","Poulets","2020","2020","% du total des UGB","10.82","E","Valeur estimée"
"EK","Tendances dans l’élevage","028","Antigua-et-Barbuda","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2016","2016","UGB/ha","0.17","E","Valeur estimée"
"EK","Tendances dans l’élevage","028","Antigua-et-Barbuda","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2017","2017","UGB/ha","0.18","E","Valeur estimée"
"EK","Tendances dans l’élevage","028","Antigua-et-Barbuda","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2018","2018","UGB/ha","0.18","E","Valeur estimée"
"EK","Tendances dans l’élevage","028","Antigua-et-Barbuda","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2019","2019","UGB/ha","0.18","E","Valeur estimée"
"EK","Tendances dans l’élevage","028","Antigua-et-Barbuda","7213","Densité des animaux dans la superficie agricole","02151","Poulets","2020","2020","UGB/ha","0.18","E","Valeur estimée"
