Pays;Taux (%)
Albanie;0.2
Algérie;0.19
Andorre;4.5
Angola;0.1
Anguilla;0
Antigua-et-Barbuda;0.15
Argentine;0.21
Arménie;0.2
Aruba;0
Australie;0.1
Autriche;0.2
Azerbaïdjan;0.18
Bahamas;0.12
Bahreïn;0.05
Bangladesh;0.15
Barbade;17.5
Bélarus;0.2
Belgique;0.21
Belize;12.5
Bénin;0.18
Bermudes;0
Bhoutan;0.5
Bolivie (État plurinational de);14.94
Bosnie-Herzégovine;0.17
Botswana;0.12
Brésil;19
Brunéi Darussalam;0
Bulgarie;0.2
Burkina Faso;0.18
Burundi;0.18
Cambodge;0.1
Cameroun;0
Canada;0.05
Îles Caïmanes;0
République centrafricaine;0.19
Tchad;0.18
Chili;0.19
Chine, continentale;0.13
Colombie;0.19
Comores;0.1
Congo;0.16
Îles Cook;0
Costa Rica;0.13
Croatie;0.25
Curaçao;0.06
Chypre;0.19
Tchéquie;0.21
Danemark;0.25
Djibouti;0.26
Dominique;0.15
République dominicaine;0.18
Équateur;0.12
Égypte;0.15
El Salvador;0.13
Guinée équatoriale;0.15
Érythrée;0.1
Estonie;0.2
Éthiopie;0.15
Fidji;0.15
Finlande;0.24
France;0.2
Gabon;0.18
Gambie;0.15
Géorgie;0.18
Allemagne;0.16
Ghana;12.5
Grèce;0.24
Grenade;0.15
Guatemala;0.12
Guinée;0.18
Guinée-Bissau;0.18
Guyana;0.14
Haïti;0.1
Honduras;0.15
Chine - RAS de Hong-Kong;0
Hongrie;0.27
Islande;0.24
Inde;28
Indonésie;15
Iraq;0.15
Irlande;0.23
Israël;0.17
Italie;0.22
Côte d'Ivoire;0.18
Jamaïque;0.15
Japon;0.1
Jordanie;0.16
Kazakhstan;0.12
Kenya;0.14
Kiribati;0
République de Corée;0.1
Koweït;0
Kirghizistan;0.2
Lettonie;0.21
Liban;0.11
Lesotho;0.14
Libéria;0.07
Liechtenstein;7.7
Lituanie;0.21
Luxembourg;0.17
Chine - RAS de Macao;0
Macédoine du Nord;0.18
Madagascar;0.2
Malawi;16.5
Malaisie;0.1
Maldives;0
Mali;0.18
Malte;0.18
Îles Marshall;0.1
Mauritanie;0.14
Maurice;0.15
Mexique;0.16
Micronésie (États fédérés de);0.35
République de Moldova;0.2
Monaco;0.2
Mongolie;0.1
Monténégro;0.21
Montserrat;0.15
Maroc;0.2
Mozambique;0.17
Myanmar;0.05
Namibie;0.15
Népal;0.13
Pays-Bas;0.21
Nouvelle-Calédonie;0
Nouvelle-Zélande;0.15
Nicaragua;0.15
Niger;0.21
Nigéria;0.05
Norvège;0.25
Oman;0
Pakistan;0.17
Palaos;0
Palestine;0
Panama;0.07
Papouasie-Nouvelle-Guinée;0.1
Paraguay;0.1
Pérou;0.18
Philippines;0.12
Pologne;0.23
Portugal;0.23
Porto Rico;11.5
Qatar;0
Roumanie;0.19
Fédération de Russie;0.2
Rwanda;18
Samoa;0
Saint-Marin;0.22
Arabie saoudite;0.15
Sénégal;0.18
Serbie;0.2
Seychelles;0.15
Sierra Leone;0.15
Singapour;0.07
Slovaquie;0.2
Slovénie;0.22
Îles Salomon;0
Afrique du Sud;0.15
Espagne;0.21
Sri Lanka;0.15
Saint-Kitts-et-Nevis;0.17
Sainte-Lucie;12.5
Sint Maarten (partie néerlandaise);0.05
Saint-Vincent-et-les Grenadines;0.15
Soudan;35.54
Suriname;0.1
Suède;0.25
Suisse;7.7
République arabe syrienne;0
République-Unie de Tanzanie;0.18
Thaïlande;0.07
Timor-Leste;0.05
Togo;0.18
Tonga;0.15
Trinité-et-Tobago;12.5
Tunisie;0.19
Turkménistan;0.15
Îles Turques-et-Caïques;0
Tuvalu;0
Ouganda;0.18
Ukraine;0.2
Émirats arabes unis;0.05
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;0.2
États-Unis d'Amérique;0
Uruguay;0.22
Ouzbékistan;0.2
Vanuatu;0.15
Venezuela (République bolivarienne du);0.16
Viet Nam;0.1
Îles Vierges britanniques;0
Yémen;0.05
Zambie;0.16
Zimbabwe;0.15
